
--- Training session started at Wed Apr 22 00:03:06 2026 ---
    Step    Epoch   TrLoss   TrPPL   VaLoss   VaPPL   GradN     Mem
     440    2/5     2.1057     8.2       --      --   0.394   279M/832M
     450    2/5     2.2049     9.1       --      --   0.408   279M/832M
     460    2/5     1.8305     6.2       --      --   0.365   279M/832M
     470    2/5     2.0111     7.5       --      --   0.403   279M/832M
     480    2/5     1.9782     7.2       --      --   0.397   279M/832M
     490    2/5     1.8788     6.5       --      --   0.406   279M/832M
     500    2/5     1.8715     6.5       --      --   0.366   279M/832M
     510    2/5     2.0119     7.5       --      --   0.357   279M/832M
     520    2/5     1.7432     5.7       --      --   0.358   279M/832M
     530    2/5     1.8830     6.6       --      --   0.360   279M/832M
     540    2/5     1.8711     6.5       --      --   0.352   279M/832M
     550    2/5     1.8283     6.2       --      --   0.362   279M/832M
---------------------------------------------------------------------------
  EPOCH 2/5 SUMMARY: TrLoss=1.9186 | VaLoss=1.9567 | VaPPL=7.1
---------------------------------------------------------------------------
     560    3/5     1.8129     6.1       --      --   0.376   279M/832M
     570    3/5     1.7479     5.7       --      --   0.360   279M/832M
     580    3/5     1.9024     6.7       --      --   0.385   279M/832M
     590    3/5     2.0551     7.8       --      --   0.390   279M/832M
     600    3/5     1.8255     6.2       --      --   0.373   279M/832M
     610    3/5     1.6650     5.3       --      --   0.345   279M/832M
     620    3/5     1.8563     6.4       --      --   0.377   279M/832M
     630    3/5     1.7741     5.9       --      --   0.349   279M/832M
     640    3/5     1.9446     7.0       --      --   0.380   279M/832M
     650    3/5     1.8436     6.3       --      --   0.356   279M/832M
     660    3/5     1.9129     6.8       --      --   0.392   279M/832M
     670    3/5     1.8293     6.2       --      --   0.398   279M/832M
     680    3/5     1.7839     6.0       --      --   0.375   279M/832M
     690    3/5     1.7944     6.0       --      --   0.376   279M/832M
     700    3/5     1.8757     6.5       --      --   0.390   279M/832M
     710    3/5     1.6368     5.1       --      --   0.343   279M/832M
     720    3/5     1.7288     5.6       --      --   0.380   279M/832M
     730    3/5     1.7730     5.9       --      --   0.383   279M/832M
     740    3/5     1.8584     6.4       --      --   0.404   279M/832M
     750    3/5     1.9254     6.9       --      --   0.388   279M/832M
     760    3/5     1.8883     6.6       --      --   0.367   279M/832M
     770    3/5     1.9005     6.7       --      --   0.399   279M/832M
     780    3/5     2.0850     8.0       --      --   0.383   279M/832M
     790    3/5     2.0552     7.8       --      --   0.380   279M/832M
     800    3/5     1.9990     7.4       --      --   0.389   279M/832M
     810    3/5     1.8145     6.1       --      --   0.355   279M/832M
     820    3/5     2.0504     7.8       --      --   0.423   279M/832M
---------------------------------------------------------------------------
  EPOCH 3/5 SUMMARY: TrLoss=1.9069 | VaLoss=1.9482 | VaPPL=7.0
---------------------------------------------------------------------------
     830    4/5     1.8575     6.4       --      --   0.349   279M/832M
     840    4/5     1.8763     6.5       --      --   0.392   279M/832M
     850    4/5     1.7817     5.9       --      --   0.392   279M/832M
     860    4/5     1.9547     7.1       --      --   0.384   279M/832M
     870    4/5     1.8644     6.5       --      --   0.376   279M/832M
     880    4/5     2.1767     8.8       --      --   0.419   279M/832M
     890    4/5     1.7642     5.8       --      --   0.371   279M/832M
     900    4/5     1.9206     6.8       --      --   0.397   279M/832M
     910    4/5     1.5849     4.9       --      --   0.345   279M/832M
     920    4/5     1.7128     5.5       --      --   0.346   279M/832M
     930    4/5     2.0039     7.4       --      --   0.383   279M/832M
     940    4/5     1.6722     5.3       --      --   0.359   279M/832M
     950    4/5     1.8409     6.3       --      --   0.378   279M/832M
     960    4/5     1.7094     5.5       --      --   0.352   279M/832M
     970    4/5     1.8261     6.2       --      --   0.400   279M/832M
     980    4/5     1.6581     5.2       --      --   0.352   279M/832M
     990    4/5     1.9698     7.2       --      --   0.407   279M/832M
    1000    4/5     1.7462     5.7       --      --   0.357   279M/832M
    1010    4/5     1.7734     5.9       --      --   0.379   279M/832M
    1020    4/5     1.4512     4.3       --      --   0.357   279M/832M
    1030    4/5     2.2233     9.2       --      --   0.433   279M/832M
    1040    4/5     1.9269     6.9       --      --   0.394   279M/832M
    1050    4/5     2.0079     7.4       --      --   0.398   279M/832M
    1060    4/5     1.7847     6.0       --      --   0.396   279M/832M
    1070    4/5     1.8122     6.1       --      --   0.381   279M/832M
    1080    4/5     1.7238     5.6       --      --   0.372   279M/832M
    1090    4/5     1.8323     6.2       --      --   0.380   279M/832M
    1100    4/5     2.0316     7.6       --      --   0.399   279M/832M
---------------------------------------------------------------------------
  EPOCH 4/5 SUMMARY: TrLoss=1.8956 | VaLoss=1.9409 | VaPPL=7.0
---------------------------------------------------------------------------
    1110    5/5     1.5080     4.5       --      --   0.361   279M/832M
    1120    5/5     1.8004     6.1       --      --   0.376   279M/832M
    1130    5/5     1.9459     7.0       --      --   0.381   279M/832M
    1140    5/5     1.8121     6.1       --      --   0.413   279M/832M
    1150    5/5     1.7024     5.5       --      --   0.370   279M/832M
    1160    5/5     1.6515     5.2       --      --   0.360   279M/832M
    1170    5/5     1.8782     6.5       --      --   0.440   279M/832M
    1180    5/5     1.9050     6.7       --      --   0.413   279M/832M
    1190    5/5     2.0608     7.9       --      --   0.418   279M/832M
    1200    5/5     2.0540     7.8       --      --   0.417   279M/832M
    1210    5/5     1.9107     6.8       --      --   0.447   279M/832M
    1220    5/5     1.9247     6.9       --      --   0.391   279M/832M
    1230    5/5     1.7604     5.8       --      --   0.397   279M/832M
    1240    5/5     1.7846     6.0       --      --   0.384   279M/832M
    1250    5/5     2.0048     7.4       --      --   0.412   279M/832M
    1260    5/5     1.6973     5.5       --      --   0.367   279M/832M
    1270    5/5     1.5938     4.9       --      --   0.356   279M/832M
    1280    5/5     1.9781     7.2       --      --   0.407   279M/832M
    1290    5/5     2.0580     7.8       --      --   0.417   279M/832M
    1300    5/5     1.9764     7.2       --      --   0.412   279M/832M
    1310    5/5     1.7337     5.7       --      --   0.379   279M/832M
    1320    5/5     2.0037     7.4       --      --   0.422   279M/832M
    1330    5/5     2.0038     7.4       --      --   0.405   279M/832M
    1340    5/5     1.9932     7.3       --      --   0.409   279M/832M
